L,a,b,term
71.6,15.62,90.72,W
30.77,-25.67,-10.89,N
61.7,-51.88,5.51,N
41.22,-53.57,23.28,N
81.35,-30.49,65.57,W
20.54,-17.18,-1.47,N
81.35,-17.25,87.99,W
30.77,-6.44,26.57,N
30.77,-39.62,10.61,N
61.7,-36.77,-10.9,N
30.77,-23.96,27.29,N
71.6,-34.49,79.15,N
71.6,-41.54,5.41,N
71.6,-2.3,85.64,W
61.7,-41.11,0.19,N
81.35,-38.45,34.02,N
61.7,-13.07,-37.55,N
41.22,-52.68,3.36,N
81.35,23.82,2.52,W
71.6,-41.85,9.77,N
41.22,-14.57,40.52,N
30.77,-49.93,6.94,N
51.57,-15.72,-29.08,N
41.22,-19.48,36.56,N
81.35,15.1,90.21,W
91.08,-16.65,44.66,W
61.7,-52.22,16.26,N
61.7,5.87,68.59,W
51.57,19.79,58.75,W
71.6,-25.13,-11.03,N
71.6,24.12,84.39,W
41.22,-39.09,-8.33,N
71.6,-15.98,87.62,W
51.57,-40.14,52.84,N
81.35,-32.18,1.81,N
71.6,-18.37,-18.07,N
51.57,-63.28,28.95,N
30.77,-27.32,-6.72,N
61.7,-22.98,-25.73,N
71.6,32.89,77.02,W
81.35,-26.04,85.63,W
61.7,-14.02,73.17,N
51.57,-51.99,4.46,N
51.57,-6.4,58.71,N
81.35,-33.63,8.67,N
41.22,-0.21,42.37,N
41.22,-54.08,14.27,N
61.7,-21.81,70.54,W
51.57,-36.19,-11.99,N
91.08,-9.03,45.94,W
61.7,-39.17,-5.88,N
30.77,-29.07,-1.92,N
81.35,-42.41,23.78,N
71.6,-40.91,1.15,N
71.6,-9.51,87.14,W
91.08,-14.67,29.61,W
30.77,-39.23,16.6,N
71.6,-51.55,27.69,N
61.7,22.09,71.31,W
20.54,-27.43,4.26,N
61.7,-7.92,73.21,W
51.57,-25.02,50.55,N
41.22,-41.21,-2.07,N
61.7,-55.94,49.19,N
71.6,-27.52,-7.11,N
81.35,7.28,109.12,W
51.57,-52.69,9.7,N
51.57,-51.2,-1.36,N
51.57,-18.37,55.88,N
81.35,-40.58,54.46,N
61.7,-52.09,10.63,N
71.6,-46.7,41.31,N
51.57,-11.71,58.46,W
30.77,-39.18,2.14,N
71.6,6.22,81.95,W
30.77,-27.26,20.69,N
81.35,-33.04,4.96,N
61.7,-46.97,64.65,N
81.35,-10.94,87.9,W
20.54,-27.79,7.33,N
20.54,-1.74,11.57,N
51.57,-56.86,49.22,N
91.08,-5.25,45.24,W
30.77,-0.15,26.58,N
71.6,-41.95,14.43,N
51.57,29.45,64.44,W
71.6,-40.28,53.23,W
41.22,-38.39,31.53,N
61.7,-1.4,71.61,W
61.7,-51.58,26.3,N
20.54,-17.35,7.46,N
61.7,14.45,76.93,W
41.22,-33.18,41.15,N
81.35,21.06,22.4,N
51.57,-0.48,57.27,W
61.7,15.28,-29.05,N
81.35,-33.8,12.41,N
41.22,-9.31,43.05,N
30.77,-0.02,0.03,N
61.7,-30.13,65.11,W
71.6,-39.21,-4.56,N
91.08,-0.46,29.79,W
71.6,-24.87,85.15,W
81.35,-3.69,100.18,W
71.6,16.13,-17.52,N
71.6,6.06,-22.71,N
41.22,-4.87,43.26,W
91.08,-12.17,45.9,W
71.6,15.62,90.72,W
30.77,-13.04,21.97,N
61.7,-51.88,5.51,N
41.22,-53.57,23.28,N
81.35,-30.49,65.57,W
81.35,-17.25,87.99,W
30.77,-6.44,26.57,N
61.7,-36.77,-10.9,N
30.77,-23.96,27.29,N
71.6,-34.49,79.15,W
71.6,-41.54,5.41,N
71.6,-2.3,85.64,W
61.7,-41.11,0.19,N
81.35,-38.45,34.02,W
30.77,3.1,25.71,N
41.22,-52.68,3.36,N
81.35,14.98,47.04,W
71.6,-41.85,9.77,N
41.22,-14.57,40.52,W
71.6,13.67,-19.66,N
41.22,-19.48,36.56,W
81.35,15.1,90.21,W
91.08,-16.65,44.66,W
61.7,-52.22,16.26,N
61.7,5.87,68.59,W
41.22,4.42,40.43,W
51.57,19.79,58.75,W
71.6,24.12,84.39,W
71.6,-15.98,87.62,W
51.57,-40.14,52.84,N
51.57,-63.28,28.95,N
51.57,13.12,63.99,W
61.7,-22.98,-25.73,N
71.6,32.89,77.02,W
81.35,-26.04,85.63,W
30.77,-10.05,24.97,W
61.7,-14.02,73.17,W
51.57,-51.99,4.46,N
51.57,-6.4,58.71,W
81.35,-33.63,8.67,N
41.22,-0.21,42.37,W
61.7,9.58,-30.64,N
41.22,-54.08,14.27,N
61.7,-21.81,70.54,W
91.08,-9.03,45.94,W
20.54,-14.85,15.25,N
81.35,-42.41,23.78,N
71.6,-9.51,87.14,W
61.7,29.38,64.4,W
30.77,-39.23,16.6,N
71.6,-51.55,27.69,N
61.7,22.09,71.31,W
61.7,-7.92,73.21,W
51.57,-25.02,50.55,W
61.7,-55.94,49.19,N
51.57,5.33,54.9,W
81.35,7.28,109.12,W
51.57,-52.69,9.7,N
51.57,-51.2,-1.36,N
51.57,-18.37,55.88,W
81.35,-40.58,54.46,W
30.77,-3.32,26.87,N
61.7,-52.09,10.63,N
71.6,-46.7,41.31,N
51.57,-38.59,-7,N
51.57,-11.71,58.46,W
30.77,-39.18,2.14,N
71.6,6.22,81.95,W
30.77,-27.26,20.69,N
81.35,-19.64,-4.3,N
81.35,-33.04,4.96,N
61.7,-46.97,64.65,N
20.54,-16.13,-4.67,N
81.35,-10.94,87.9,W
51.57,-56.86,49.22,N
91.08,-5.25,45.24,W
41.22,-24.01,-14.24,N
71.6,-41.95,14.43,N
71.6,-40.28,53.23,N
20.54,-26.87,1.22,N
41.22,-38.39,31.53,N
61.7,-1.4,71.61,W
61.7,-51.58,26.3,N
41.22,-33.18,41.15,N
30.77,-22.84,-15.29,N
51.57,-0.48,57.27,W
81.35,-33.8,12.41,N
41.22,-9.31,43.05,N
41.22,-53.43,8.61,N
51.57,-32.36,-17.71,N
61.7,-30.13,65.11,N
51.57,-52.87,15.46,N
71.6,-24.87,85.15,W
81.35,-3.69,100.18,W
41.22,-4.87,43.26,N
91.08,-12.17,45.9,W
71.6,15.62,90.72,W
30.77,-25.67,-10.89,N
61.7,-51.88,5.51,N
41.22,-53.57,23.28,N
81.35,-30.49,65.57,W
81.35,-17.25,87.99,W
30.77,-39.62,10.61,N
71.6,-34.49,79.15,N
71.6,-41.54,5.41,N
71.6,-2.3,85.64,W
61.7,-41.11,0.19,N
81.35,-38.45,34.02,W
61.7,-13.07,-37.55,N
41.22,-52.68,3.36,N
71.6,-41.85,9.77,N
41.22,-36.33,-13.61,N
41.22,-14.57,40.52,N
30.77,-49.93,6.94,N
41.22,-19.48,36.56,N
81.35,15.1,90.21,W
91.08,-16.65,44.66,W
61.7,-52.22,16.26,N
61.7,5.87,68.59,W
41.22,4.42,40.43,W
71.6,24.12,84.39,W
41.22,-39.09,-8.33,N
71.6,-15.98,87.62,W
51.57,-40.14,52.84,N
51.57,-63.28,28.95,N
81.35,-26.04,85.63,W
61.7,-14.02,73.17,W
51.57,-51.99,4.46,N
51.57,-6.4,58.71,W
41.22,-54.08,14.27,N
61.7,-21.81,70.54,W
91.08,-9.03,45.94,W
61.7,-39.17,-5.88,N
30.77,-29.07,-1.92,N
81.35,-42.41,23.78,N
71.6,-9.51,87.14,W
30.77,-39.23,16.6,N
71.6,-51.55,27.69,N
61.7,22.09,71.31,W
61.7,-7.92,73.21,W
51.57,-25.02,50.55,N
41.22,-41.21,-2.07,N
61.7,-55.94,49.19,N
51.57,5.33,54.9,W
81.35,7.28,109.12,W
51.57,-52.69,9.7,N
51.57,-51.2,-1.36,N
51.57,-18.37,55.88,N
81.35,-40.58,54.46,N
61.7,-52.09,10.63,N
71.6,-46.7,41.31,N
51.57,-38.59,-7,N
51.57,-11.71,58.46,W
30.77,-39.18,2.14,N
71.6,6.22,81.95,W
30.77,-27.26,20.69,N
20.54,24.14,-14.33,W
81.35,14.87,30.96,W
61.7,-46.97,64.65,N
20.54,-16.13,-4.67,N
81.35,-10.94,87.9,W
91.08,-5.25,45.24,W
41.22,-24.01,-14.24,N
71.6,-41.95,14.43,N
71.6,-40.28,53.23,N
61.7,2.64,-39.49,N
41.22,-38.39,31.53,N
61.7,-1.4,71.61,W
61.7,-51.58,26.3,N
20.54,-17.35,7.46,N
61.7,14.45,76.93,W
30.77,9.51,37.16,N
41.22,-33.18,41.15,N
51.57,-0.48,57.27,N
61.7,15.28,-29.05,N
81.35,-33.8,12.41,N
41.22,-9.31,43.05,N
41.22,-53.43,8.61,N
81.35,-13.22,-11.59,N
51.57,-32.36,-17.71,N
81.35,21.03,-9.69,W
61.7,-30.13,65.11,N
71.6,-39.21,-4.56,N
81.35,22.67,17.48,W
51.57,-52.87,15.46,N
71.6,-24.87,85.15,W
81.35,-3.69,100.18,W
71.6,16.13,-17.52,N
71.6,6.06,-22.71,N
91.08,-12.17,45.9,W
91.08,-12.69,1.23,N
71.6,15.62,90.72,W
81.35,-10.44,-12.79,N
61.7,-51.88,5.51,N
41.22,-53.57,23.28,N
81.35,-30.49,65.57,W
81.35,-17.25,87.99,W
30.77,-39.62,10.61,N
71.6,-12.05,-29.46,N
71.6,-34.49,79.15,W
71.6,-41.54,5.41,N
71.6,-2.3,85.64,W
61.7,-41.11,0.19,N
81.35,-38.45,34.02,W
81.35,14.98,47.04,W
71.6,-41.85,9.77,N
41.22,-36.33,-13.61,N
41.22,-14.57,40.52,N
71.6,13.67,-19.66,N
41.22,-19.48,36.56,N
81.35,15.1,90.21,W
81.35,-16.44,-9.33,N
91.08,-16.65,44.66,W
61.7,-52.22,16.26,N
61.7,5.87,68.59,W
51.57,19.79,58.75,N
51.57,27.4,-33.72,N
71.6,-15.98,87.62,W
51.57,-40.14,52.84,N
81.35,-32.18,1.81,N
51.57,-63.28,28.95,N
51.57,13.12,63.99,W
71.6,10.25,-21.6,N
81.35,-26.04,85.63,W
61.7,-14.02,73.17,W
51.57,-51.99,4.46,N
51.57,-6.4,58.71,W
81.35,-33.63,8.67,N
41.22,-0.21,42.37,N
61.7,-21.81,70.54,W
51.57,-36.19,-11.99,N
91.08,-9.03,45.94,W
61.7,-39.17,-5.88,N
81.35,-42.41,23.78,N
71.6,-40.91,1.15,N
71.6,0.85,-31.32,N
71.6,-9.51,87.14,W
91.08,-14.67,29.61,W
71.6,-51.55,27.69,N
61.7,22.09,71.31,W
61.7,-7.92,73.21,W
41.22,-41.21,-2.07,N
61.7,-55.94,49.19,N
51.57,5.33,54.9,N
71.6,-27.52,-7.11,N
81.35,7.28,109.12,W
81.35,-0.24,-24.03,N
81.35,-40.58,54.46,N
51.57,-27.95,-22.24,N
71.6,-46.7,41.31,N
51.57,-38.59,-7,N
51.57,-11.71,58.46,N
71.6,6.22,81.95,W
30.77,-27.26,20.69,N
61.7,-4.52,-39.18,W
81.35,-19.64,-4.3,N
81.35,-33.04,4.96,N
61.7,-46.97,64.65,N
20.54,7.63,-35.92,N
20.54,-9.52,-13.99,N
61.7,-16.81,-28.31,N
30.77,-0.15,26.58,N
30.77,7.86,-43.39,N
71.6,-41.95,14.43,N
81.35,-18.27,-7.01,N
20.54,-26.87,1.22,N
41.22,-38.39,31.53,N
61.7,-29.22,-21.27,N
61.7,-1.4,71.61,N
61.7,-51.58,26.3,N
71.6,-22.32,-14.67,N
41.22,-33.18,41.15,N
30.77,-22.84,-15.29,N
81.35,-33.8,12.41,N
81.35,5.82,-13.42,N
41.22,-53.43,8.61,N
81.35,-13.22,-11.59,N
20.54,-16.46,11.28,N
41.22,-10.54,-39.65,N
51.57,-52.87,15.46,N
91.08,-13.24,5.48,N
81.35,-3.69,100.18,W
71.6,16.13,-17.52,N
81.35,-21.19,-1.35,N
71.6,6.06,-22.71,N
41.22,-4.87,43.26,W
71.6,-14.22,-19.9,N
91.08,-12.17,45.9,W
91.08,3.36,-4.24,N
71.6,15.62,90.72,W
20.54,-0.11,12.03,N
41.22,-53.57,23.28,N
81.35,-30.49,65.57,W
81.35,-17.25,87.99,N
91.08,5.53,2.22,W
20.54,15.99,14.49,W
61.7,-36.77,-10.9,N
71.6,-12.05,-29.46,N
96,-0.06,0.06,W
71.6,-34.49,79.15,N
71.6,-41.54,5.41,N
71.6,-2.3,85.64,W
61.7,-41.11,0.19,N
81.35,-38.45,34.02,N
61.7,-13.07,-37.55,N
41.22,-52.68,3.36,N
81.35,14.98,47.04,W
71.6,-41.85,9.77,N
41.22,-14.57,40.52,W
30.77,-49.93,6.94,N
51.57,-15.72,-29.08,N
41.22,-19.48,36.56,W
81.35,15.1,90.21,W
81.35,-16.44,-9.33,N
91.08,-16.65,44.66,W
61.7,-52.22,16.26,N
61.7,5.87,68.59,W
71.6,-25.13,-11.03,N
51.57,-21.72,-26.63,N
71.6,-15.98,87.62,W
51.57,-40.14,52.84,N
81.35,-32.18,1.81,N
20.54,-3.09,10.75,W
91.08,-13.13,7.63,N
71.6,-18.37,-18.07,N
51.57,-63.28,28.95,N
30.77,-27.32,-6.72,N
61.7,-22.98,-25.73,N
81.35,-26.04,85.63,W
61.7,-14.02,73.17,N
51.57,-51.99,4.46,N
51.57,-6.4,58.71,W
81.35,-33.63,8.67,N
41.22,-54.08,14.27,N
61.7,-21.81,70.54,W
51.57,-36.19,-11.99,N
91.08,-9.03,45.94,W
61.7,-39.17,-5.88,N
81.35,-42.41,23.78,N
71.6,-40.91,1.15,N
71.6,-9.51,87.14,W
91.08,-14.67,29.61,N
81.35,-6.82,-13.92,N
71.6,-51.55,27.69,N
61.7,-7.92,73.21,W
51.57,-25.02,50.55,N
41.22,-41.21,-2.07,N
71.6,-27.52,-7.11,N
51.57,5.02,-48.35,N
91.08,-13.22,3.82,N
81.35,7.28,109.12,W
51.57,-52.69,9.7,N
51.57,-51.2,-1.36,N
81.35,-40.58,54.46,N
51.57,-27.95,-22.24,N
30.77,-3.32,26.87,W
61.7,-52.09,10.63,N
71.6,-46.7,41.31,N
71.6,-5.09,-30.75,N
71.6,6.22,81.95,W
91.08,-11.94,-0.27,N
81.35,-33.04,4.96,N
81.35,14.87,30.96,W
61.7,-46.97,64.65,W
41.22,22.15,41.13,W
20.54,-16.13,-4.67,N
81.35,-10.94,87.9,W
20.54,-27.79,7.33,N
81.35,18.74,-12.74,W
20.54,-1.74,11.57,T
51.57,-56.86,49.22,W
91.08,-5.25,45.24,W
30.77,-0.15,26.58,T
71.6,-41.95,14.43,W
51.57,29.45,64.44,W
61.7,2.64,-39.49,N
41.22,-38.39,31.53,N
61.7,-29.22,-21.27,N
61.7,-1.4,71.61,W
61.7,-51.58,26.3,N
51.57,-0.03,0.04,T
20.54,-17.35,7.46,N
61.7,14.45,76.93,W
20.54,22.74,-16.65,T
30.77,9.51,37.16,N
41.22,-33.18,41.15,W
30.77,-22.84,-15.29,N
81.35,9.68,-11.26,N
20.54,-11.72,-12.03,T
81.35,-33.8,12.41,W
41.22,-53.43,8.61,N
20.54,-16.46,11.28,N
30.77,-0.02,0.03,T
61.7,-30.13,65.11,W
71.6,-39.21,-4.56,N
81.35,22.67,17.48,W
20.54,-4.47,9.36,T
20.54,-15.07,-7.11,N
71.6,-24.87,85.15,W
20.54,3.62,11.09,T
91.08,-12.17,45.9,W
91.08,-12.69,1.23,W
30.77,-13.04,21.97,W
20.54,-0.11,12.03,T
30.77,-25.67,-10.89,N
20.54,13.28,18.21,N
61.7,-51.88,5.51,N
41.22,-53.57,23.28,N
41.22,-20.46,-17.64,N
71.6,32.41,7.97,N
30.77,-6.44,26.57,T
30.77,-39.62,10.61,N
20.54,15.99,14.49,T
61.7,-36.77,-10.9,N
81.35,3.22,-14.27,T
71.6,-34.49,79.15,W
71.6,-41.54,5.41,W
71.6,-2.3,85.64,W
81.35,-38.45,34.02,W
41.22,-0.03,0.03,T
30.77,3.1,25.71,N
41.22,-52.68,3.36,N
30.77,13.89,33.8,T
81.35,14.98,47.04,W
71.6,-41.85,9.77,N
41.22,-36.33,-13.61,N
51.57,-3.41,-48.08,N
41.22,-14.57,40.52,W
20.54,-9.22,-24.04,N
71.6,13.67,-19.66,N
30.77,-49.93,6.94,W
51.57,-15.72,-29.08,N
20.54,-13.39,-9.92,T
41.22,-19.48,36.56,W
81.35,15.1,90.21,W
91.08,-16.65,44.66,W
61.7,-52.22,16.26,W
61.7,5.87,68.59,N
41.22,4.42,40.43,T
41.22,33.08,-30.5,N
51.57,19.79,58.75,W
71.6,24.12,84.39,W
51.57,-21.72,-26.63,N
41.22,-39.09,-8.33,N
71.6,-15.98,87.62,W
51.57,-40.14,52.84,W
81.35,-32.18,1.81,N
61.7,23.29,-23.79,N
20.54,-3.09,10.75,T
91.08,-13.13,7.63,W
71.6,-18.37,-18.07,N
51.57,-63.28,28.95,N
20.54,10.16,21.44,T
51.57,13.12,63.99,W
30.77,-27.32,-6.72,N
20.54,25.15,16.6,N
71.6,10.25,-21.6,N
81.35,-26.04,85.63,W
71.6,29.26,-13.95,N
30.77,-10.05,24.97,T
61.7,-14.02,73.17,W
51.57,-51.99,4.46,N
51.57,-6.4,58.71,W
30.77,-19.73,-18.89,N
41.22,-54.08,14.27,N
61.7,-21.81,70.54,W
51.57,-36.19,-11.99,N
91.08,-9.03,45.94,W
61.7,-39.17,-5.88,N
51.57,22.05,-37.02,N
30.77,-29.07,-1.92,N
81.35,-42.41,23.78,W
71.6,-40.91,1.15,N
30.77,-10.88,-24.2,W
71.6,-9.51,87.14,W
91.08,-14.67,29.61,W
30.77,-39.23,16.6,N
41.22,32.37,46.62,W
71.6,-51.55,27.69,N
61.7,22.09,71.31,W
30.77,-15.41,-22,N
51.57,-25.02,50.55,W
41.22,-41.21,-2.07,N
61.7,-55.94,49.19,W
51.57,5.33,54.9,W
71.6,-27.52,-7.11,N
51.57,5.02,-48.35,N
91.08,-13.22,3.82,W
81.35,7.28,109.12,W
51.57,-52.69,9.7,N
51.57,-51.2,-1.36,N
51.57,-18.37,55.88,W
81.35,-40.58,54.46,W
61.7,-52.09,10.63,N
71.6,-46.7,41.31,N
51.57,-38.59,-7,N
51.57,-11.71,58.46,W
30.77,-39.18,2.14,N
30.77,42.44,-23.6,N
71.6,6.22,81.95,W
30.77,-27.26,20.69,N
41.22,17.04,45.95,W
81.35,-19.64,-4.3,N
81.35,-33.04,4.96,W
81.35,14.87,30.96,W
41.22,22.15,41.13,N
81.35,-10.94,87.9,W
81.35,-0.05,0.06,N
20.54,-1.74,11.57,N
51.57,-56.86,49.22,N
91.08,-5.25,45.24,W
30.77,-0.15,26.58,N
51.57,29.45,64.44,W
81.35,-18.27,-7.01,N
71.6,-40.28,53.23,W
61.7,-1.4,71.61,W
61.7,-51.58,26.3,W
51.57,-0.03,0.04,N
20.54,-17.35,7.46,W
61.7,14.45,76.93,W
71.6,-22.32,-14.67,N
41.22,-33.18,41.15,W
61.7,-33.16,-16.42,W
51.57,-0.48,57.27,N
81.35,9.68,-11.26,N
61.7,15.28,-29.05,N
91.08,1.28,14.41,N
81.35,-33.8,12.41,W
81.35,5.82,-13.42,N
81.35,-13.22,-11.59,N
81.35,21.03,-9.69,N
61.7,-30.13,65.11,W
91.08,-0.46,29.79,N
81.35,22.67,17.48,N
20.54,-4.47,9.36,W
15.6,-0.02,0.02,W
20.54,-15.07,-7.11,W
81.35,-3.69,100.18,W
71.6,16.13,-17.52,W
81.35,-21.19,-1.35,N
71.6,6.06,-22.71,N
41.22,-4.87,43.26,W
71.6,-14.22,-19.9,N
91.08,-12.17,45.9,W
91.08,3.36,-4.24,N
71.6,15.62,90.72,W
81.35,-10.44,-12.79,N
91.08,1.12,-5.38,N
81.35,-30.49,65.57,W
81.35,-17.25,87.99,W
91.08,5.53,2.22,N
61.7,-36.77,-10.9,W
71.6,-12.05,-29.46,N
71.6,-34.49,79.15,W
71.6,-41.54,5.41,W
71.6,-2.3,85.64,W
81.35,-38.45,34.02,W
91.08,-0.37,-5.58,N
81.35,14.98,47.04,W
71.6,-41.85,9.77,W
41.22,-14.57,40.52,W
71.6,13.67,-19.66,N
41.22,-19.48,36.56,W
91.08,-1.49,-5.61,N
81.35,15.1,90.21,W
81.35,-16.44,-9.33,N
91.08,-16.65,44.66,W
61.7,5.87,68.59,W
41.22,4.42,40.43,W
51.57,19.79,58.75,W
71.6,-25.13,-11.03,N
71.6,24.12,84.39,W
51.57,-21.72,-26.63,N
71.6,-15.98,87.62,W
51.57,-40.14,52.84,W
81.35,-32.18,1.81,N
91.08,-13.13,7.63,N
71.6,-18.37,-18.07,N
81.35,23.18,13.11,W
91.08,-10.76,13.38,N
61.7,-22.98,-25.73,N
71.6,32.89,77.02,W
81.35,-26.04,85.63,W
71.6,29.26,-13.95,N
30.77,-10.05,24.97,W
81.35,23.67,9.47,N
61.7,-14.02,73.17,W
91.08,-10.86,-2.13,N
51.57,-51.99,4.46,W
91.08,5.04,-1.14,N
51.57,-6.4,58.71,W
81.35,-33.63,8.67,N
91.08,5.51,3.28,N
51.57,35.21,-24.66,W
41.22,-0.21,42.37,W
61.7,9.58,-30.64,N
61.7,-21.81,70.54,W
91.08,-9.03,45.94,W
91.08,-6.32,-5.08,N
51.57,22.05,-37.02,W
81.35,-42.41,23.78,W
91.08,5.41,0.74,N
71.6,-9.51,87.14,W
61.7,29.38,64.4,W
91.08,2.95,-4.85,N
71.6,-51.55,27.69,N
61.7,22.09,71.31,W
91.08,-3.48,-5.55,N
61.7,34.47,-24.03,W
61.7,-7.92,73.21,W
71.6,34.96,37.54,W
51.57,-25.02,50.55,W
41.22,-41.21,-2.07,W
61.7,-55.94,49.19,W
51.57,5.33,54.9,W
81.35,23.74,6.18,W
91.08,-13.22,3.82,N
91.08,-4.65,-5.34,N
41.22,9.31,37.8,W
81.35,7.28,109.12,W
51.57,-52.69,9.7,W
20.54,34.44,-14.69,W
51.57,-27.95,-22.24,W
61.7,-52.09,10.63,W
91.08,5.27,-0.1,N
71.6,-46.7,41.31,W
71.6,30.67,44.56,W
51.57,-11.71,58.46,W
71.6,6.22,81.95,W
81.35,-19.64,-4.3,W
81.35,-33.04,4.96,N
81.35,14.87,30.96,W
61.7,-46.97,64.65,N
41.22,22.15,41.13,W
20.54,-16.13,-4.67,N
81.35,-10.94,87.9,W
20.54,-27.79,7.33,N
20.54,-9.52,-13.99,N
81.35,18.74,-12.74,W
20.54,-1.74,11.57,N
61.7,-16.81,-28.31,N
51.57,-56.86,49.22,W
91.08,-5.25,45.24,W
51.57,31.24,-29.94,N
30.77,-0.15,26.58,W
41.22,-24.01,-14.24,N
91.08,5.21,7.67,W
71.6,-41.95,14.43,N
51.57,29.45,64.44,W
81.35,-18.27,-7.01,N
61.7,37.1,-18.34,W
71.6,-40.28,53.23,N
71.6,38.22,29.22,W
20.54,-26.87,1.22,N
61.7,2.64,-39.49,N
41.22,-38.39,31.53,W
61.7,-29.22,-21.27,N
61.7,-1.4,71.61,W
91.08,5.44,1.5,W
61.7,-51.58,26.3,N
51.57,-0.03,0.04,N
61.7,14.45,76.93,W
71.6,-22.32,-14.67,N
20.54,22.74,-16.65,W
30.77,9.51,37.16,W
91.08,-12.29,10.56,W
41.22,-33.18,41.15,W
61.7,-33.16,-16.42,N
81.35,21.06,22.4,W
51.57,-0.48,57.27,W
81.35,9.68,-11.26,N
20.54,-11.72,-12.03,N
61.7,15.28,-29.05,N
71.6,32.18,12.57,W
41.22,-2.09,-40.81,N
91.08,1.28,14.41,W
81.35,-33.8,12.41,W
61.7,38.67,-11.63,W
41.22,-9.31,43.05,W
41.22,-53.43,8.61,N
30.77,36.9,-32.14,W
81.35,-13.22,-11.59,N
20.54,-16.46,11.28,W
81.35,21.03,-9.69,W
30.77,-0.02,0.03,N
41.22,-10.54,-39.65,N
61.7,-30.13,65.11,W
71.6,-39.21,-4.56,N
91.08,-0.46,29.79,W
81.35,22.67,17.48,W
51.57,-52.87,15.46,N
71.6,38.97,-10.98,W
20.54,-4.47,9.36,N
41.22,46.93,-24.7,W
20.54,-15.07,-7.11,N
71.6,-24.87,85.15,W
91.08,3.14,12.37,W
41.22,-21.08,-28.21,N
81.35,-3.69,100.18,W
71.6,16.13,-17.52,W
30.77,46.25,-9.51,W
41.22,-4.87,43.26,W
91.08,-12.17,45.9,W
91.08,-12.69,1.23,W
41.22,20.81,-48.05,N
71.6,15.62,90.72,W
30.77,-13.04,21.97,W
20.54,-0.11,12.03,N
30.77,-25.67,-10.89,N
71.6,40.04,-2.7,W
61.7,-51.88,5.51,N
41.22,-53.57,23.28,W
41.22,-20.46,-17.64,W
81.35,-30.49,65.57,W
71.6,32.41,7.97,W
20.54,-17.18,-1.47,N
91.08,5.53,2.22,W
30.77,-6.44,26.57,W
30.77,39.78,-27.99,W
30.77,-39.62,10.61,N
30.77,-23.96,27.29,W
71.6,-34.49,79.15,W
71.6,-41.54,5.41,W
71.6,-2.3,85.64,W
81.35,-38.45,34.02,N
20.54,29.26,-25.01,W
71.6,31.7,17.23,W
61.7,-13.07,-37.55,N
41.22,-0.03,0.03,W
30.77,3.1,25.71,W
30.77,13.89,33.8,W
81.35,14.98,47.04,W
81.35,23.82,2.52,W
71.6,-41.85,9.77,N
41.22,-36.33,-13.61,N
51.57,-3.41,-48.08,W
20.54,-9.22,-24.04,N
30.77,-49.93,6.94,W
20.54,-13.39,-9.92,N
41.22,-19.48,36.56,W
81.35,15.1,90.21,W
91.08,-16.65,44.66,W
30.77,0.29,-43.03,N
61.7,-52.22,16.26,W
61.7,5.87,68.59,W
20.54,36.42,-2.08,W
51.57,19.79,58.75,W
71.6,24.12,84.39,W
81.35,23.53,-0.96,W
51.57,27.4,-33.72,W
71.6,-15.98,87.62,W
51.57,-40.14,52.84,W
20.54,-3.09,10.75,N
81.35,23.18,13.11,W
51.57,-63.28,28.95,W
51.57,48.98,-15.95,W
20.54,10.16,21.44,N
51.57,13.12,63.99,W
30.77,-27.32,-6.72,W
61.7,-22.98,-25.73,N
71.6,32.89,77.02,W
81.35,-26.04,85.63,W
30.77,-10.05,24.97,N
61.7,-14.02,73.17,W
51.57,-51.99,4.46,W
51.57,-6.4,58.71,W
20.54,-5.36,7.98,N
41.22,-0.21,42.37,W
61.7,9.58,-30.64,N
41.22,-54.08,14.27,W
41.22,7.17,-48.94,N
61.7,-21.81,70.54,W
51.57,-36.19,-11.99,W
30.77,28.16,36.05,W
91.08,-9.03,45.94,W
61.7,-39.17,-5.88,W
20.54,-14.85,15.25,N
81.35,-42.41,23.78,W
71.6,-40.91,1.15,W
20.54,1.58,11.89,N
30.77,-10.88,-24.2,N
71.6,-9.51,87.14,W
91.08,-14.67,29.61,W
61.7,-0.04,0.04,N
81.35,-6.82,-13.92,N
30.77,-39.23,16.6,W
61.7,22.09,71.31,W
91.08,-3.48,-5.55,N
61.7,34.47,-24.03,W
61.7,-7.92,73.21,W
30.77,-15.41,-22,N
30.77,25.75,-49.63,N
51.57,-25.02,50.55,W
61.7,-55.94,49.19,N
51.57,5.33,54.9,W
91.08,4.3,10.08,W
51.57,5.02,-48.35,N
41.22,9.31,37.8,W
81.35,7.28,109.12,W
51.57,-52.69,9.7,N
51.57,-51.2,-1.36,W
51.57,-18.37,55.88,W
81.35,-40.58,54.46,N
51.57,-27.95,-22.24,N
30.77,-3.32,26.87,W
61.7,-52.09,10.63,N
41.22,-14.67,-30.69,N
20.54,-0.02,0.02,N
91.08,5.27,-0.1,W
71.6,-46.7,41.31,N
51.57,-38.59,-7,W
71.6,30.67,44.56,W
51.57,-11.71,58.46,W
30.77,-39.18,2.14,N
91.08,5.43,5.64,W
71.6,6.22,81.95,W
30.77,-27.26,20.69,N
61.7,-4.52,-39.18,N
81.35,-33.04,4.96,N
81.35,14.87,30.96,N
61.7,-46.97,64.65,N
20.54,7.63,-35.92,N
20.54,-16.13,-4.67,N
81.35,-10.94,87.9,W
